id,titulo
2455,Intranet DEGASE II
2456,Carteira Funcional MP_RJ
2457,Melhorias CPE
2459,AGENERSA
2460,Sistema de Gestão de Projetos e Tarefas (SGP)
2461,Sistema de Contratos do DEGASE
2462,SISCORI
2463,Carteira Funcional Importador
2464,SISCOM
2465,Depósito Público
2466,Fomulário Editais
2467,Qlik Admin
2468,Rádio Roquette (Acervo Consumo API)
2469,SISGAM
2470,Boleto (Contrato Habitação)
2471,Consulta Demanda (CPF)
2472,CPF Consulta
2473,Serviço API
2474,Site antigo da Saúde
2475,E-SIC
2476,Openshift migrações dos sites DRUPAL
2477,Portal SAPE
2478,Emater
2479,COMUNICA 2.0 - Atualização e integração JITSI MEET
2480,Projeto Anonimização - PRODERJ
2481,IRM sustentação
2482,Intranet DEGASE
2483,IVB Drupal
2484,Violência Contra a Mulher
2485,SGER - Módulo Esocial
2486,proderj  Drupal errado
2487,emop Drupal
2488,Fundação Leao XIII Drupal
2489,parcerias
2490,IRM Drupal
2491,Patrimonio Drupal
2492,crase Drupal
2493,Intranet Casa Civil Drupal
2494,rioprevidencia Drupal
2495,secsaude Drupal
2496,FIPERJ Drupal
2497,ieea Drupal
2498,turisrio Drupal
2499,der Drupal
2500,Migração do isp Drupal para ambiente OPENSHIFT
2501,fia Drupal
2502,OuveRJ Drupal
2503,Intranet DRM
2504,concessao-maracana Drupal
2505,Site CEASA Drupal
2506,Atualização Drupal
2507,desenvolverj Drupal
2508,secdigital (Sec transform. Digital) Drupal
2509,silep Drupal
2510,secmulher Drupal
2511,roquettepinto Drupal
2512,BondeSantaTeresa Drupal
2513,RioTrilhos Drupal
2514,seenemar Drupal
2515,emater Drupal
2516,caiomartins Drupal
2517,rjparatodos Drupal
2518,central Drupal
2519,Lei Seca Drupal
2520,drm Drupal
2521,coderte Drupal
2522,villalobos Drupal
2523,lauraalvim Drupal
2524,vitima Drupal
2525,Esporte Drupal
2526,lgpd Drupal
2527,dadosabertos Drupal
2528,Site Drupal para a Secretaria Especial de Representação do Estado em Brasília
2529,funarj Drupal
2530,seiop Drupal
2531,secid Drupal
2532,secsocial Drupal
2533,suderj Drupal
2534,metroleve Drupal
2535,seas Drupal
2536,cidadeintegrada Drupal
2537,Site PRODERJ Drupal
2538,ISP - drupal
2539,Remoção Fala Br e E-sic
2540,Portal da Transparência
2541,PCP AgroGel
2542,Rádio Roquette Pinto (App mobile)
2543,S.O.S Crianças Desaparecidas
2544,Santa Cabrini GTP
2545,Site ALERJ
2546,Impresso Inteligente PcD
2547,Secretaria de Saúde DRUPAL
2548,SedConsumidor DRUPAL
2549,SISPATRI
2550,Sistema Juridico Degase
2551,Qlik Sense (app mobile)
2552,SEC HABITAÇÃO DRUPAL
2553,Sec.Tecnologia DRUPAL
2554,App Turismo RJ
2555,Site CEHAB Drupal
2556,Sec. Desenvolvimento Economico Drupal
2557,SGER
2558,ProeisWS
2559,Acervo Roquette-Pinto
2560,API RIO PROVIDENCIA
2561,10minutossalvamvidas
2562,Pit Turismo
2563,Geração de Documentação GFS
2564,10 MINUTOS SALVAM VIDAS (DRUPAL)
2565,Projeto Ambiente Padrão de Desenvolvimento
2566,Gestão de Frotas
2567,"Criação e edição de logos, banners e imagens"
2568,App rjdigital (fábrica externa)
2569,SEC TRABALHO DRUPAL
2570,SEIJES DRUPAL
2571,SETRANS DRUPAL
2572,SEGOV DRUPAL
2573,SETIC DRUPAL
2574,QLIK VPA
2575,Segurança Presente Drupal
2576,Sec Segurança Drupal
2577,PESAGRO DRUPAL
2578,SEC Planejamento e Gestão DRUPAL
2579,ADMPENITENCIARIA DRUPAL
2580,Gestão de circuitos SGC
2581,GESPERJ drupal
2582,CEPERJ DRUPAL
2583,concessao saneamento rj - drupal
2584,CASA CIVIL DRUPAL
2585,Depósito Público Drupal
2586,SGEST
2587,Consulta Publica Drupal
2588,Manutenção Gitlab: análise e merge para deploy
2589,Redirect sites Drupal Openshift para atender decreto 48.671
2590,Configuração volume sites Drupal Openshift
2591,Portal Alerj
2592,FAETEC site DRUPAL
2593,Aluguel Social
2594,IntegraRJ
2595,Sistipologia
2596,Palácio do Povo
2597,RAS Cproeis
2598,RAS SEAP
2599,RAS Degase
2600,Gabinete de Segurança Institucional do governo - DRUPAL
2601,DEGASE DRUPAL
2602,FECAM
2603,KANBAN PRODERJ
2604,Observa RJ Drupal
2605,APF - Contagem de Pontos de Função
2606,Sistema de Contratos - AGENERSA
2607,Fundação Saúde DRUPAL
2608,Atualização de Design para Projetos de B.I.
2609,FIA - Programa Trabalho Protegido na Adolescência (PTPA)
2610,WS_NAG Atualização
2611,NAG
2612,Lojas de apps (Google console e Apple connect)
2613,Inscrição em Eventos
2614,Suporte Projetos Red Hat
2615,Sistema de Lei de Incentivo ao Esporte
2616,SISREV - Sistema de Logística Reversa
2617,App RJ Digital - Landing page Drupal
2618,IPEM Drupal
2619,Conselho Estadual de Educação do Estado do Rio de Janeiro - CEE - Drupal
2620,ATUALIZAÇÃO da versão do PHP
2621,Sistema de Contratos - SESP
2622,APP Poupa Tempo
2623,Vale Social
2624,Vacinação Animal
2625,Rio com Saúde - Drupal
2626,Site PET - Programa Estadual de Transplante - Drupal
2627,Modificações em API para o QLIK
2628,Qualidade de Software/site/aplicativos
2629,PROCON Drupal
2630,Site Censo Inclusão RJ - Drupal
2631,Site Rio Sem Fumo - Drupal
2632,Estudo - Treinamento
2633,Site Extranet da Saúde - Drupal
2634,Site Secretaria de Transporte e Mobilização Urbana - Drupal
2635,Padronização da tela de Login do GLPI
